Strains,Conidia.Length
wt,10.07
wt,13.15
wt,16.94
wt,7.85
wt,14.99
wt,13.89
wt,15.69
wt,10.55
wt,18.57
wt,15.07
wt,11.18
wt,12.72
wt,13.02
wt,10.44
wt,10.04
m1,14.44
m1,11.99
m1,7.07
m1,8.75
m1,11.44
m1,14.26
m1,14.52
m1,11.9
m1,13.63
m1,22.02
m1,13.43
m1,10.98
m1,9.25
m1,11.7
m1,15
m3,10.77
m3,10.44
m3,9.75
m3,11.42
m3,14.8
m3,8.6
m3,10.83
m3,11.09
m3,13.27
m3,19.16
m3,19.27
m3,14.53
m3,12.55
m3,13.52
m3,12.29
m4,13.62
m4,14.85
m4,15.82
m4,8.76
m4,14.11
m4,9.14
m4,8.1
m4,10.63
m4,10.27
m4,9.11
m4,20.01
m4,18.81
m4,12.46
m4,11.05
m4,10.79
m8,14.12
m8,12.8
m8,16.08
m8,11.59
m8,15.41
m8,11.42
m8,6.59
m8,18.98
m8,11.4
m8,9.22
m8,10.17
m8,15.45
m8,11.24
m8,17.6
m8,12.54
m9,12.11
m9,13.78
m9,10.62
m9,9.85
m9,10.36
m9,12.02
m9,11.44
m9,10.55
m9,12.38
m9,13.41
m9,11.18
m9,11.71
m9,13.4
m9,8.57
m9,8.14
m13,10.96
m13,9.99
m13,15.95
m13,13.02
m13,17.62
m13,14.21
m13,16.77
m13,14.5
m13,14.01
m13,9.28
m13,15.08
m13,10.3
m13,9.46
m13,6.29
m13,20.84
m17,17.28
m17,11.66
m17,16
m17,10.57
m17,12.56
m17,20.51
m17,11.02
m17,9.73
m17,18.67
m17,14.53
m17,20.29
m17,17.56
m17,12.65
m17,13.17
m17,15.25
m18,11.49
m18,11.52
m18,16.08
m18,13.13
m18,11.5
m18,12.4
m18,12.53
m18,12.8
m18,19.2
m18,17.24
m18,17.05
m18,13.07
m18,11.08
m18,14.82
m18,12.79
